timestamp,status,source,folder,duration_seconds,chunks,output_16000,output_22050,error
2026-04-10T14:07:38,done,/home/samir/Preprocessing/Khusi_voice/Recording (75).wav,Recording (75)_enhanced,53.013,7,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:07:57,done,/home/samir/Preprocessing/Khusi_voice/Recording (76).wav,Recording (76)_enhanced,68.629,10,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:08:12,done,/home/samir/Preprocessing/Khusi_voice/Recording (79).wav,Recording (79)_enhanced,51.307,8,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:08:29,done,/home/samir/Preprocessing/Khusi_voice/Recording (8).wav,Recording (8)_enhanced,59.541,8,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:08:47,done,/home/samir/Preprocessing/Khusi_voice/Recording (80).wav,Recording (80)_enhanced,64.256,9,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:09:02,done,/home/samir/Preprocessing/Khusi_voice/Recording (81).wav,Recording (81)_enhanced,49.472,7,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:09:18,done,/home/samir/Preprocessing/Khusi_voice/Recording (83).wav,Recording (83)_enhanced,53.120,7,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:09:45,done,/home/samir/Preprocessing/Khusi_voice/Recording (86).wav,Recording (86)_enhanced,95.040,12,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:10:03,done,/home/samir/Preprocessing/Khusi_voice/Recording (91).wav,Recording (91)_enhanced,62.016,8,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:10:20,done,/home/samir/Preprocessing/Khusi_voice/Recording (94).wav,Recording (94)_enhanced,58.560,7,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:10:41,done,/home/samir/Preprocessing/Khusi_voice/Recording (95).wav,Recording (95)_enhanced,70.805,10,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
2026-04-10T14:10:53,done,/home/samir/Preprocessing/Khusi_voice/Recording (97).wav,Recording (97)_enhanced,40.725,6,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/16000Hz,/home/samir/Preprocessing/Khusi_voice/output/recording_chunks/22050Hz,
